time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-06-20T13:34:58.550Z,27.845,54.34,10,4.5,mb,62,48.6,,1.04,us,usp000heaf,2014-11-07T01:41:43.240Z,"27 km NE of Ger?sh, Iran",earthquake,,,,15,reviewed,us,us
2020-08-25T12:16:02.532Z,27.8435,53.2407,10,4.7,mb,,71,3.923,0.67,us,us7000bcl2,2020-10-31T19:06:26.040Z,"47 km NE of Mohr, Iran",earthquake,7.9,1.9,0.051,116,reviewed,us,us
2012-01-14T20:15:17.030Z,27.839,53.985,10,4.6,mb,90,63.6,,1.04,us,usp000jdgu,2014-11-07T01:46:47.221Z,"23 km NW of Ger?sh, Iran",earthquake,,,,30,reviewed,us,us
2020-08-31T03:36:52.608Z,27.8389,53.1455,10,5.2,mww,,41,3.978,0.96,us,us7000bf5e,2020-11-07T18:48:39.040Z,"40 km NE of Mohr, Iran",earthquake,6.9,1.8,0.078,16,reviewed,us,us
2017-04-28T13:00:44.550Z,27.8231,54.7855,10,4.2,mb,,89,3.135,1.16,us,us10008lkn,2017-07-21T02:32:09.040Z,"66 km ENE of Ger?sh, Iran",earthquake,8.7,1.9,0.112,22,reviewed,us,us
2020-06-10T05:52:14.272Z,27.8133,53.129,10,4.4,mb,,105,3.97,0.8,us,us6000a951,2020-08-22T19:14:41.040Z,"37 km NE of Mohr, Iran",earthquake,9.1,1.9,0.098,30,reviewed,us,us
2021-07-06T11:44:33.086Z,27.8046,53.2176,10,4.7,mb,,44,3.909,0.31,us,us7000ej30,2021-09-10T20:07:13.040Z,"43 km NE of Mohr, Iran",earthquake,6.9,1.8,0.052,115,reviewed,us,us
2020-08-21T05:16:05.781Z,27.8023,53.2068,10,4.1,mb,,104,3.914,0.62,us,us6000bi70,2020-10-31T19:06:13.040Z,"42 km NE of Mohr, Iran",earthquake,8.9,1.9,0.12,19,reviewed,us,us
2017-12-24T10:57:17.070Z,27.7982,53.449,10,4.2,mb,,126,3.765,1.12,us,us1000bvlv,2018-03-17T01:54:33.040Z,"61 km ENE of Mohr, Iran",earthquake,12.3,2,0.105,25,reviewed,us,us
2020-09-19T17:01:34.151Z,27.7965,53.1233,10,4.1,mb,,73,3.962,0.97,us,us6000c0ia,2020-11-28T21:31:54.040Z,"35 km NE of Mohr, Iran",earthquake,10.7,1.9,0.127,19,reviewed,us,us
2015-05-24T09:10:40.420Z,27.7955,52.8116,10,4.4,mb,,107,4.161,0.28,us,us20002lnw,2015-07-29T01:35:39.040Z,"27 km NNW of Mohr, Iran",earthquake,9.3,2,0.241,5,reviewed,us,us
2014-12-27T12:00:13.300Z,27.794,54.021,5.4,4.3,mb,,,,0.87,us,usc000ta7h,2015-03-17T02:37:27.040Z,"17 km NW of Ger?sh, Iran",earthquake,8.2,4.9,0.147,19,reviewed,teh,us
2020-06-13T22:04:16.539Z,27.7921,53.3816,10,4.8,mb,,42,3.801,0.66,us,us6000abi5,2020-08-22T19:14:50.040Z,"55 km ENE of Mohr, Iran",earthquake,7.2,1.8,0.051,121,reviewed,us,us
2014-11-15T22:29:23.900Z,27.792,54.139,9.4,3.9,mb,,,,0.99,us,usc000sxpn,2015-02-12T01:42:49.040Z,"13 km N of Ger?sh, Iran",earthquake,4.8,3.5,0.115,22,reviewed,teh,us
2014-03-18T19:01:30.480Z,27.7816,52.6935,8.31,4.7,mb,,44,1.636,0.92,us,usc000nftr,2014-05-16T21:51:48.000Z,"31 km NW of Mohr, Iran",earthquake,,3.8,0.049,131,reviewed,us,us
2020-08-31T15:57:21.302Z,27.7789,53.2136,10,4.2,mb,,105,3.893,0.58,us,us7000bfa8,2020-11-07T18:48:40.040Z,"40 km NE of Mohr, Iran",earthquake,5.9,1.8,0.128,18,reviewed,us,us
2020-06-14T18:06:01.738Z,27.7759,53.3785,10,5.2,mww,,39,3.791,0.81,us,us6000abr2,2020-08-22T19:14:51.040Z,"54 km ENE of Mohr, Iran",earthquake,7,1.8,0.069,20,reviewed,us,us
2020-09-08T01:34:19.795Z,27.775,53.2128,10,4.4,mb,,42,3.891,0.78,us,us7000bji4,2020-11-17T19:44:53.040Z,"40 km NE of Mohr, Iran",earthquake,7.9,1,0.078,50,reviewed,us,us
2019-11-13T16:28:21.827Z,27.7658,53.0613,10,4.3,mb,,73,3.979,0.51,us,us60006b3t,2020-02-07T20:20:39.040Z,"29 km NE of Mohr, Iran",earthquake,4.2,1.9,0.1,28,reviewed,us,us
2019-11-13T17:57:47.385Z,27.7649,53.1371,10,4.3,mb,,73,3.931,1.2,us,us60006b67,2020-02-07T20:20:40.040Z,"34 km NE of Mohr, Iran",earthquake,7.6,1.9,0.094,32,reviewed,us,us
2020-06-09T16:08:50.970Z,27.7645,53.3446,10,5.5,mww,,73,3.803,0.75,us,us6000a8lw,2022-03-10T05:22:08.263Z,"51 km ENE of Mohr, Iran",earthquake,6.8,1.9,0.052,36,reviewed,us,us
2020-07-10T20:14:06.589Z,27.7618,53.5054,10,4.9,mb,,29,3.705,0.77,us,us7000almy,2020-09-19T20:58:05.040Z,"63 km W of Ger?sh, Iran",earthquake,3.7,1.8,0.041,193,reviewed,us,us
2014-11-06T01:14:26.600Z,27.76,54.1,14,4.2,mb,,,,1.1,us,usc000suv0,2015-01-31T02:50:03.040Z,"10 km NNW of Ger?sh, Iran",earthquake,5.4,2.4,0.11,25,reviewed,thr,us
2011-01-09T13:13:09.230Z,27.76,54.11,32.8,4.2,mb,43,43.4,,1.09,us,usp000hstr,2014-11-07T01:43:24.359Z,"10 km NNW of Ger?sh, Iran",earthquake,,15.7,,9,reviewed,us,us
2020-06-21T08:05:42.145Z,27.7565,53.2438,10,4.1,mb,,105,3.859,0.99,us,us6000aftj,2020-08-30T00:00:59.040Z,"41 km ENE of Mohr, Iran",earthquake,6,2,0.123,18,reviewed,us,us
