Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
SR Tendulkar (INDIA),1989-2013,664,782,74,34357,248*,48.52,100,164,34
RT Ponting (AUS/ICC),1995-2012,560,668,70,27483,257,45.95,71,146,39
V Kohli (INDIA),2008-2022,463,517,74,23726,254*,53.55,70,122,32
KC Sangakkara (Asia/ICC/SL),2000-2015,594,666,67,28016,319,46.77,63,153,28
JH Kallis (Afr/ICC/SA),1995-2014,519,617,97,25534,224,49.1,62,149,33
HM Amla (SA/World),2004-2019,349,437,36,18672,311*,46.56,55,88,19
DPMD Jayawardene (Asia/SL),1997-2015,652,725,62,25957,374,39.15,54,136,47
BC Lara (ICC/WI),1990-2007,430,521,38,22358,400*,46.28,53,111,33
R Dravid (Asia/ICC/INDIA),1996-2012,509,605,72,24208,270,45.41,48,146,21
AB de Villiers (Afr/SA),2004-2018,420,484,68,20014,278*,48.11,47,109,20
JE Root (ENG),2012-2022,311,401,46,17558,254,49.45,44,95,20
DA Warner (AUS),2009-2022,320,398,25,16111,335*,43.19,43,80,20
CH Gayle (ICC/WI),1999-2021,483,551,35,19593,333,37.97,42,105,44
ST Jayasuriya (Asia/SL),1989-2011,586,651,35,21032,340,34.14,42,103,53
RG Sharma (INDIA),2007-2022,410,427,58,16000,264,43.36,41,86,26
Younis Khan (PAK),2000-2017,408,491,45,17790,313,39.88,41,83,43
S Chanderpaul (WI),1994-2015,454,553,94,20988,203*,45.72,41,125,21
ML Hayden (AUS/ICC),1993-2009,273,348,32,15066,380,47.67,40,69,23
LRPL Taylor (NZ),2006-2022,450,510,84,18199,290,42.72,40,93,29
SPD Smith (AUS),2010-2022,274,314,40,13548,239,49.44,39,66,13
Mohammad Yousuf (Asia/PAK),1998-2010,381,432,52,17300,223,45.52,39,97,26
TM Dilshan (SL),1999-2016,497,527,64,17671,193,38.16,39,83,35
AN Cook (ENG),2006-2018,257,387,20,15737,294,42.88,38,76,16
V Sehwag (Asia/ICC/INDIA),1999-2013,374,443,15,17253,319,40.31,38,72,31
ME Waugh (AUS),1988-2002,372,445,37,16529,173,40.51,38,97,35
SC Ganguly (Asia/INDIA),1992-2008,424,488,40,18575,239,41.46,38,107,29
KS Williamson (NZ),2010-2022,313,370,38,15562,251,46.87,37,86,18
GC Smith (Afr/ICC/SA),2002-2014,347,432,25,17236,277,42.34,37,90,20
MJ Clarke (AUS),2003-2015,394,449,71,17112,329*,45.26,36,86,21
